task,normalisation,modality,n_classes,n_windows,n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high
harmonized_all_classes,subject_zscore,physiology_only,11,7686,20.0,0.4131426426420193,0.035256752838628565,0.3966419743899547,0.42964331089408386,0.2820993501202846,0.021333519147356723,0.2721149558196864,0.29208374442088275,0.29409740018733976,0.02360063845122634,0.28305196139145794,0.3051428389832216
affective_only_no_exercise,subject_zscore,all_modalities,9,3923,20.0,0.5527400445092961,0.044941568682851124,0.5317067429186115,0.5737733460999808,0.38976988606831275,0.03949023583323439,0.3712878867854389,0.4082518853511866,0.39632435576018443,0.04529219447375631,0.3751269562480938,0.4175217552722751
affective_only_no_exercise,subject_zscore,acc_only,9,3923,20.0,0.4840696854787387,0.04843156212154965,0.46140301668043215,0.5067363542770452,0.3115367348275175,0.03869795153023047,0.2934255360124298,0.32964793364260514,0.31484008401224883,0.043450877693303705,0.29450444728019276,0.3351757207443049
affective_only_no_exercise,subject_zscore,all_except_acc,9,3923,20.0,0.5167993080932399,0.03665100407161652,0.4996461101779683,0.5339525060085116,0.3625160883508729,0.026354478511806684,0.35018181273366317,0.37485036396808263,0.36912106909204506,0.0321800553704616,0.35406033957927835,0.3841817986048118
affective_only_no_exercise,subject_zscore,physiology_only,9,3923,20.0,0.5070160594550741,0.03440927424747808,0.49091202339280043,0.5231200955173478,0.35136365699238103,0.020467465923236942,0.34178458807739737,0.3609427259073647,0.35403179852539063,0.024124644438035747,0.3427411173786317,0.36532247967214954
within_WESAD,subject_zscore,all_modalities,4,1398,20.0,0.7602630472388737,0.07052355777072052,0.7272570062101891,0.7932690882675584,0.6720474834741249,0.08054286727080058,0.6343522612570228,0.709742705691227,0.6745308379393116,0.07963889644353378,0.6372586870923537,0.7118029887862695
within_WESAD,subject_zscore,acc_only,4,1398,20.0,0.6086098752640984,0.07100494892487264,0.5753785362401473,0.6418412142880494,0.524177330208598,0.06939801347661036,0.49169806012462064,0.5566566002925754,0.5307944125633628,0.0650752316816449,0.500338266635239,0.5612505584914866
within_WESAD,subject_zscore,all_except_acc,4,1398,20.0,0.7676216291667428,0.047197496052287256,0.7455325210673251,0.7897107372661605,0.6819162378237074,0.05342945549760122,0.6569104829236581,0.7069219927237567,0.6839028888025697,0.050872929713392155,0.6600936247999142,0.7077121528052251
within_WESAD,subject_zscore,physiology_only,4,1398,20.0,0.7329078801440869,0.05375708653467579,0.7077487891986963,0.7580669710894775,0.6558513795546466,0.06810695803556178,0.6239763420165667,0.6877264170927264,0.6614989850292923,0.06715386164975681,0.6300700103304759,0.6929279597281086
within_PhysioNet_stress_session,subject_zscore,all_modalities,3,1670,20.0,0.7248541223455605,0.026998174016757998,0.7122185879586858,0.7374896567324352,0.3895531855965706,0.04270608550374626,0.3695661223390165,0.4095402488541247,0.38070759804928145,0.05261986560054426,0.35608074288434677,0.40533445321421613
within_PhysioNet_stress_session,subject_zscore,acc_only,3,1670,20.0,0.6995899827468933,0.021980015238331565,0.6893030189620248,0.7098769465317618,0.3395250342937651,0.020704562687272405,0.3298350006774973,0.34921506791003293,0.31637288554109033,0.027043845833431487,0.30371597608604506,0.3290297949961356
within_PhysioNet_stress_session,subject_zscore,all_except_acc,3,1670,20.0,0.7250056931668041,0.027839509193626027,0.7119764017965273,0.7380349845370808,0.39061075442642473,0.03286649856032003,0.3752287596116154,0.4059927492412341,0.3882114812202945,0.04304488967118781,0.36806585273142256,0.4083571097091664
within_PhysioNet_stress_session,subject_zscore,physiology_only,3,1670,20.0,0.7021382885509465,0.03221535700549357,0.6870610373644146,0.7172155397374784,0.378837190892911,0.0429409736199599,0.35874019661307205,0.39893418517275,0.3727188972383999,0.05725676826227936,0.34592190482660634,0.39951588965019347
within_EPM_emotions,subject_zscore,all_modalities,4,855,20.0,0.4774801165685143,0.09927412940670992,0.4310183938213787,0.52394183931565,0.330073866896156,0.07930445933301927,0.2929582374349603,0.36718949635735165,0.3301295161315533,0.08443229547253764,0.2906139854833023,0.36964504677980425
