task,normalisation,modality,model,n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high
within_WESAD,subject_zscore,acc_only,random_forest,20.0,0.6014954895654145,0.0800871951826044,0.5640135284501917,0.6389774506806374,0.5511590591101506,0.08086156067016258,0.5133146837909162,0.5890034344293851,0.5530017778016256,0.06973669476635165,0.5203639999948645,0.5856395556083868
within_WESAD,subject_zscore,acc_only,mlp,20.0,0.6513492857555493,0.07277720227397547,0.6172885066323922,0.6854100648787064,0.5604828986641233,0.06879650457903101,0.5282851434098028,0.5926806539184437,0.5532012042781702,0.07081019926461765,0.520061010900864,0.5863413976554764
within_PhysioNet_stress_session,subject_zscore,all_modalities,xgboost,20.0,0.5898022721492723,0.08576608277259892,0.5496625098294927,0.6299420344690518,0.4377393278518187,0.04528585447660979,0.4165448955497293,0.4589337601539081,0.41341077161198453,0.04460217311522513,0.3925363120364239,0.43428523118754514
within_PhysioNet_stress_session,subject_zscore,all_modalities,random_forest,20.0,0.5597846601131562,0.13193355484688568,0.49803785575462106,0.6215314644716913,0.4347824994549193,0.06346683733476981,0.4050791052523374,0.4644858936575012,0.3951378752422518,0.05907601432193969,0.36748944946571455,0.42278630101878906
within_PhysioNet_stress_session,subject_zscore,all_modalities,mlp,20.0,0.6617657216816991,0.058291982374871765,0.6344842341514831,0.6890472092119151,0.4077357798910817,0.04199654109198278,0.3880807936402276,0.4273907661419358,0.39478413925111633,0.04854551624483239,0.3720641382814425,0.41750414022079013
within_PhysioNet_stress_session,subject_zscore,physiology_only,xgboost,20.0,0.5165577880158383,0.10459951761501045,0.46760370686743924,0.5655118691642373,0.42315519628103865,0.05355005871440056,0.39809299733806663,0.44821739522401066,0.3868306237390336,0.06009853285508996,0.3587036445581506,0.41495760291991657
within_PhysioNet_stress_session,subject_zscore,physiology_only,random_forest,20.0,0.4603408630702579,0.11730115805697319,0.4054422312098544,0.5152394949306613,0.4152949736557804,0.06672148088602982,0.38406835938344713,0.44652158792811364,0.36411143643226085,0.06782521985344472,0.3323682564222504,0.3958546164422713
within_PhysioNet_stress_session,subject_zscore,physiology_only,mlp,20.0,0.6631494011867078,0.07439641633971056,0.628330806553709,0.6979679958197067,0.340273801627159,0.041123902763811435,0.3210272226854833,0.3595203805688347,0.32628367338118347,0.044695729946684686,0.3053654278606808,0.3472019189016861
within_PhysioNet_stress_session,subject_zscore,acc_only,xgboost,20.0,0.5241656053737925,0.07871554685502072,0.4873255954364206,0.5610056153111644,0.3631904144803962,0.038065605314065935,0.3453751628043187,0.3810056661564737,0.3449515235713293,0.03169801296728437,0.3301163968477548,0.3597866502949038
within_PhysioNet_stress_session,subject_zscore,acc_only,random_forest,20.0,0.5746106755022383,0.08687918125435445,0.533949967057233,0.6152713839472437,0.3745970257588721,0.029522918152835798,0.3607798747437888,0.3884141767739554,0.3640768634855521,0.03616950037592093,0.34714901623661043,0.3810047107344938
within_PhysioNet_stress_session,subject_zscore,acc_only,mlp,20.0,0.6896514016010978,0.06989250419185479,0.6569407027385452,0.7223621004636505,0.3557117998239746,0.031901171628955206,0.34078159191994917,0.37064200772800004,0.33010198682939895,0.04211785111853748,0.3103902257384741,0.3498137479203238
affective_only_no_exercise,subject_zscore,all_modalities,xgboost,20.0,0.5056437704581243,0.057893232194861394,0.4785489037567156,0.5327386371595328,0.4163505649044004,0.05139929314619453,0.3922949552321807,0.4404061745766201,0.40140730295294685,0.051972986041012324,0.3770831967410917,0.425731409164802
affective_only_no_exercise,subject_zscore,all_modalities,random_forest,20.0,0.48140306613719286,0.05613980492341685,0.45512882865942983,0.5076773036149559,0.3952020629047671,0.04177060612239829,0.3756528174745926,0.4147513083349416,0.38173709076239326,0.04360088173516463,0.3613312499777251,0.40214293154706143
affective_only_no_exercise,subject_zscore,all_modalities,mlp,20.0,0.453626723461867,0.050573038194612965,0.4299578130103633,0.4772956339133707,0.32307784619879454,0.03726035886469779,0.3056394614617398,0.34051623093584926,0.3184722621788736,0.037100130728057,0.30110886651808055,0.3358356578396666
affective_only_no_exercise,subject_zscore,physiology_only,xgboost,20.0,0.4459369629958726,0.046337948666653854,0.4242501354559319,0.4676237905358133,0.3799055388640282,0.03544930415037512,0.36331475382409123,0.3964963239039652,0.3555048239609425,0.03214444426805129,0.3404607609571323,0.37054888696475274
affective_only_no_exercise,subject_zscore,physiology_only,random_forest,20.0,0.4277354697577584,0.05782419662559035,0.400672912697324,0.45479802681819276,0.36146275180896825,0.04097844367765533,0.34228424981515826,0.38064125380277825,0.3415708106512045,0.04163770463300702,0.32208376503269975,0.3610578562697092
affective_only_no_exercise,subject_zscore,physiology_only,mlp,20.0,0.44096777829306016,0.048139919857216405,0.41843760227598253,0.4634979543101378,0.30155866139772164,0.02833927833305157,0.2882954708703096,0.3148218519251337,0.2990294003596124,0.029572727006319646,0.2851889380835314,0.3128698626356934
affective_only_no_exercise,subject_zscore,acc_only,xgboost,20.0,0.42651152799314423,0.06487818207365616,0.39614760412033856,0.4568754518659499,0.32994846773927733,0.04286145113570138,0.3098886911277057,0.350008244350849,0.32202278858646555,0.04478920592171544,0.30106079496299437,0.3429847822099367
affective_only_no_exercise,subject_zscore,acc_only,random_forest,20.0,0.44243416079891895,0.06255506310824394,0.41315749006975355,0.47171083152808435,0.3502620892577766,0.05360700760057639,0.3251732374156447,0.37535094109990846,0.34015008522555795,0.05039000247670257,0.3165668381269257,0.3637333323241902
affective_only_no_exercise,subject_zscore,acc_only,mlp,20.0,0.4610868293086858,0.055421046525595326,0.43514898111583855,0.487024677501533,0.3220708024320059,0.04014006041985416,0.30328467588094815,0.3408569289830637,0.3212442398768599,0.041845773219306326,0.30165981516244367,0.34082866459127614
cross_dataset_WESAD_to_PhysioNet,subject_zscore,all_modalities,xgboost,5.0,0.47142857142857136,0.006422859512514964,0.46345353800636097,0.47940360485078176,0.5308908045977011,0.006242150573628858,0.5231401509590592,0.538641458236343,0.40212091158006846,0.00867225710363357,0.3913528821513198,0.4128889410088171
cross_dataset_WESAD_to_PhysioNet,subject_zscore,all_modalities,random_forest,5.0,0.47733990147783245,0.0020607389816110406,0.4747811560746709,0.479898646880994,0.5339080459770115,0.001993453581251646,0.531432846433081,0.536383245520942,0.4178320555520836,0.0027722300058646986,0.4143898773590612,0.421274233745106
