features,test_dataset,trained_on,metric,variant_score,session,diff,t,p,n_splits,p_holm,variant
physiology,PhysioNet,other_datasets_only,auroc,0.763,0.8001,-0.0371,-1.2776,0.2168,20,1.0,causal
physiology,PhysioNet,all_datasets,balanced_accuracy,0.7405,0.77,-0.0295,-0.9809,0.339,20,1.0,causal
physiology,PhysioNet,all_datasets,auroc,0.8248,0.8318,-0.007,-0.239,0.8137,20,1.0,causal
physiology,Stress-Predict,within_dataset,balanced_accuracy,0.7041,0.7125,-0.0084,-0.3478,0.7318,20,1.0,causal
physiology,Stress-Predict,within_dataset,auroc,0.7725,0.7861,-0.0136,-0.6754,0.5076,20,1.0,causal
physiology,Stress-Predict,other_datasets_only,balanced_accuracy,0.6519,0.6445,0.0074,0.3053,0.7635,20,1.0,causal
physiology,Stress-Predict,other_datasets_only,auroc,0.719,0.7061,0.0128,0.4685,0.6448,20,1.0,causal
physiology,Stress-Predict,all_datasets,balanced_accuracy,0.6911,0.6991,-0.008,-0.3366,0.7401,20,1.0,causal
physiology,Stress-Predict,all_datasets,auroc,0.7612,0.7724,-0.0112,-0.4634,0.6483,20,1.0,causal
physiology,UBFC-Phys,within_dataset,balanced_accuracy,0.88,0.8767,0.0033,0.13,0.8979,20,1.0,causal
physiology,UBFC-Phys,within_dataset,auroc,0.9496,0.9518,-0.0022,-0.1031,0.919,20,1.0,causal
physiology,UBFC-Phys,other_datasets_only,balanced_accuracy,0.5783,0.5894,-0.011,-0.3173,0.7545,20,1.0,causal
physiology,UBFC-Phys,other_datasets_only,auroc,0.9349,0.9311,0.0038,0.1021,0.9197,20,1.0,causal
physiology,UBFC-Phys,all_datasets,balanced_accuracy,0.9038,0.8667,0.0371,1.925,0.0693,20,1.0,causal
physiology,UBFC-Phys,all_datasets,auroc,0.9634,0.9281,0.0353,2.2783,0.0344,20,1.0,causal
physiology,WESAD,within_dataset,balanced_accuracy,0.8617,0.8997,-0.038,-1.137,0.2697,20,1.0,causal
physiology,WESAD,within_dataset,auroc,0.9426,0.9735,-0.0309,-1.062,0.3015,20,1.0,causal
physiology,WESAD,other_datasets_only,balanced_accuracy,0.8083,0.8397,-0.0314,-0.9959,0.3318,20,1.0,causal
physiology,WESAD,other_datasets_only,auroc,0.9169,0.9183,-0.0014,-0.0488,0.9616,20,1.0,causal
physiology,WESAD,all_datasets,balanced_accuracy,0.8581,0.8762,-0.0181,-0.803,0.4319,20,1.0,causal
physiology,WESAD,all_datasets,auroc,0.9462,0.9538,-0.0076,-0.405,0.69,20,1.0,causal
hr_hrv_eda,Campanella2024,within_dataset,balanced_accuracy,0.8742,0.8823,-0.008,-0.1838,0.8561,20,1.0,causal
hr_hrv_eda,Campanella2024,within_dataset,auroc,0.9173,0.9497,-0.0324,-1.0995,0.2853,20,1.0,causal
hr_hrv_eda,Campanella2024,other_datasets_only,balanced_accuracy,0.7652,0.8675,-0.1023,-2.3346,0.0307,20,1.0,causal
hr_hrv_eda,Campanella2024,other_datasets_only,auroc,0.8448,0.9188,-0.074,-1.734,0.0991,20,1.0,causal
hr_hrv_eda,Campanella2024,all_datasets,balanced_accuracy,0.7817,0.8953,-0.1135,-2.8293,0.0107,20,0.643,causal
hr_hrv_eda,Campanella2024,all_datasets,auroc,0.8858,0.9345,-0.0487,-1.2237,0.236,20,1.0,causal
hr_hrv_eda,PhysioNet,within_dataset,balanced_accuracy,0.7738,0.7762,-0.0024,-0.1056,0.917,20,1.0,causal
hr_hrv_eda,PhysioNet,within_dataset,auroc,0.8511,0.8536,-0.0025,-0.1353,0.8938,20,1.0,causal
hr_hrv_eda,PhysioNet,other_datasets_only,balanced_accuracy,0.7441,0.746,-0.0019,-0.0638,0.9498,20,1.0,causal
hr_hrv_eda,PhysioNet,other_datasets_only,auroc,0.8106,0.811,-0.0004,-0.0127,0.99,20,1.0,causal
hr_hrv_eda,PhysioNet,all_datasets,balanced_accuracy,0.7763,0.7829,-0.0066,-0.2787,0.7835,20,1.0,causal
hr_hrv_eda,PhysioNet,all_datasets,auroc,0.8473,0.8538,-0.0065,-0.2437,0.8101,20,1.0,causal
hr_hrv_eda,Stress-Predict,within_dataset,balanced_accuracy,0.6876,0.6973,-0.0097,-0.7845,0.4424,20,1.0,causal
hr_hrv_eda,Stress-Predict,within_dataset,auroc,0.7506,0.7681,-0.0175,-1.0602,0.3024,20,1.0,causal
hr_hrv_eda,Stress-Predict,other_datasets_only,balanced_accuracy,0.6648,0.6456,0.0193,0.8103,0.4278,20,1.0,causal
hr_hrv_eda,Stress-Predict,other_datasets_only,auroc,0.7317,0.7015,0.0302,1.1083,0.2816,20,1.0,causal
hr_hrv_eda,Stress-Predict,all_datasets,balanced_accuracy,0.6788,0.6886,-0.0098,-0.4317,0.6708,20,1.0,causal
hr_hrv_eda,Stress-Predict,all_datasets,auroc,0.7527,0.7476,0.0051,0.2079,0.8375,20,1.0,causal
hr_hrv_eda,UBFC-Phys,within_dataset,balanced_accuracy,0.88,0.8767,0.0033,0.13,0.8979,20,1.0,causal
