model,subject_id,dataset,n_samples,accuracy,precision,recall,f1
MLP,S6,WESAD,82,0.4878048780487805,0.8494773519163763,0.4878048780487805,0.5601651070439826
MLP,S7,WESAD,87,0.5287356321839081,0.48084291187739464,0.5287356321839081,0.44423305588585016
MLP,S8,WESAD,86,0.3488372093023256,0.4955426356589147,0.3488372093023256,0.3817040840296654
MLP,S9,WESAD,84,0.40476190476190477,0.4445767195767195,0.40476190476190477,0.4142711962833914
MLP,S10,WESAD,248,0.4153225806451613,0.4516504629964029,0.4153225806451613,0.4150094788819486
MLP,S11,WESAD,170,0.6,0.7484873949579832,0.6,0.6655779886729901
MLP,S13,WESAD,245,0.46938775510204084,0.47547319860646226,0.46938775510204084,0.40310283434156235
MLP,S14,WESAD,252,0.5277777777777778,0.584053055349773,0.5277777777777778,0.5302270680418489
MLP,S15,WESAD,246,0.8008130081300813,0.807844275921751,0.8008130081300813,0.8025754693287399
MLP,S16,WESAD,211,0.5213270142180095,0.6107778719377508,0.5213270142180095,0.5293298583060264
MLP,S17,WESAD,245,0.47346938775510206,0.6294367575922375,0.47346938775510206,0.5075152524132116
MLP,1,EPM-E4,49,0.0,0.0,0.0,0.0
MLP,2,EPM-E4,46,1.0,1.0,1.0,1.0
MLP,4,EPM-E4,52,0.7115384615384616,1.0,0.7115384615384616,0.8314606741573034
MLP,12,EPM-E4,60,0.9,1.0,0.9,0.9473684210526315
MLP,14,EPM-E4,47,0.851063829787234,1.0,0.851063829787234,0.9195402298850576
MLP,15,EPM-E4,49,1.0,1.0,1.0,1.0
MLP,16,EPM-E4,47,0.9361702127659575,1.0,0.9361702127659575,0.967032967032967
MLP,24,EPM-E4,54,0.2962962962962963,1.0,0.2962962962962963,0.4571428571428571
MLP,25,EPM-E4,62,0.5967741935483871,1.0,0.5967741935483871,0.7474747474747475
MLP,34,EPM-E4,52,0.9038461538461539,1.0,0.9038461538461539,0.9494949494949496
MLP,35,EPM-E4,66,0.9242424242424242,1.0,0.9242424242424242,0.9606299212598425
MLP,36,EPM-E4,47,0.9361702127659575,1.0,0.9361702127659575,0.967032967032967
MLP,39,EPM-E4,62,0.6451612903225806,1.0,0.6451612903225806,0.7843137254901961
MLP,40,EPM-E4,49,0.40816326530612246,1.0,0.40816326530612246,0.5797101449275363
MLP,45,EPM-E4,51,0.8627450980392157,1.0,0.8627450980392157,0.9263157894736842
MLP,47,EPM-E4,55,0.8909090909090909,1.0,0.8909090909090909,0.9423076923076923
MLP,49,EPM-E4,49,0.9795918367346939,1.0,0.9795918367346939,0.9896907216494845
MLP,55,EPM-E4,50,1.0,1.0,1.0,1.0
MLP,56,EPM-E4,50,0.5,1.0,0.5,0.6666666666666665
MLP,61,EPM-E4,49,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231
MLP,66,EPM-E4,49,0.32653061224489793,1.0,0.32653061224489793,0.4923076923076923
MLP,68,EPM-E4,51,0.8431372549019608,1.0,0.8431372549019608,0.9148936170212766
MLP,72,EPM-E4,68,0.9558823529411765,1.0,0.9558823529411765,0.9774436090225563
MLP,76,EPM-E4,55,0.7454545454545455,1.0,0.7454545454545455,0.8541666666666666
MLP,77,EPM-E4,53,0.8679245283018868,1.0,0.8679245283018868,0.9292929292929293
MLP,78,EPM-E4,70,0.9,1.0,0.9,0.9473684210526315
MLP,79,EPM-E4,53,0.9056603773584906,1.0,0.9056603773584906,0.9504950495049505
MLP,81,EPM-E4,45,1.0,1.0,1.0,1.0
MLP,86,EPM-E4,50,1.0,1.0,1.0,1.0
MLP,91,EPM-E4,52,0.6153846153846154,1.0,0.6153846153846154,0.761904761904762
MLP,92,EPM-E4,52,0.5192307692307693,1.0,0.5192307692307693,0.6835443037974683
MLP,103,EPM-E4,50,0.9,1.0,0.9,0.9473684210526315
MLP,106,EPM-E4,72,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091
MLP,107,EPM-E4,59,1.0,1.0,1.0,1.0
MLP,117,EPM-E4,48,0.9375,1.0,0.9375,0.967741935483871
MLP,121,EPM-E4,52,0.75,1.0,0.75,0.8571428571428571
MLP,122,EPM-E4,48,1.0,1.0,1.0,1.0
MLP,124,EPM-E4,49,0.5714285714285714,1.0,0.5714285714285714,0.7272727272727274
MLP,126,EPM-E4,62,0.5645161290322581,1.0,0.5645161290322581,0.7216494845360825
MLP,128,EPM-E4,55,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523
MLP,129,EPM-E4,65,0.6923076923076923,1.0,0.6923076923076923,0.8181818181818182
MLP,131,EPM-E4,56,0.8035714285714286,1.0,0.8035714285714286,0.8910891089108911
MLP,137,EPM-E4,48,0.9166666666666666,1.0,0.9166666666666666,0.9565217391304349
MLP,138,EPM-E4,53,0.9056603773584906,1.0,0.9056603773584906,0.9504950495049505
MLP,141,EPM-E4,49,0.8979591836734694,1.0,0.8979591836734694,0.946236559139785
MLP,159,EPM-E4,47,0.2978723404255319,1.0,0.2978723404255319,0.45901639344262296
MLP,160,EPM-E4,53,0.9056603773584906,1.0,0.9056603773584906,0.9504950495049505
MLP,S01,PhysioNet,177,0.6045197740112994,0.6572313919532973,0.6045197740112994,0.6278874573101638
