dataset,subject_id,subject_uid,harmonized_label,timestamp_start,temp_available,r1_range,r2_slope,r3_temp,invalid_frac,invalid_frac_eda_rules,raw_eda_range,raw_eda_mean
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,990.0,True,0.0,0.0,0.0,0.0,0.0,0.11789,0.3465141708333333
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,1020.0,True,0.0,0.0,0.0,0.0,0.0,0.16914600000000002,0.38293287916666663
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,1050.0,True,0.0,0.0,0.0,0.0,0.0,0.25243699999999997,0.43390623333333334
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,1080.0,True,0.0,0.0,0.0,0.0,0.0,0.266533,0.49272282916666665
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,1110.0,True,0.0,0.0,0.0,0.0,0.0,0.32291499999999995,0.5520947291666667
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,1380.0,True,0.0,0.0,0.0,0.0,0.0,0.339573,0.6775285708333333
Campanella2024,subject_04,Campanella2024:subject_04,Manual task,1410.0,True,0.0,0.0,0.0,0.0,0.0,0.31010099999999996,0.7682255791666666
Campanella2024,subject_04,Campanella2024:subject_04,Stress,1650.0,True,0.0,0.0,0.0,0.0,0.0,0.508719,1.0196001916666666
Campanella2024,subject_04,Campanella2024:subject_04,Stress,1680.0,True,0.0,0.0,0.0,0.0,0.0,0.41133200000000003,1.1932310333333334
Campanella2024,subject_04,Campanella2024:subject_04,Stress,1710.0,True,0.0,0.0,0.0,0.0,0.0,0.540854,1.3317678874999999
Campanella2024,subject_05,Campanella2024:subject_05,Baseline,15.0,True,0.0,0.0,1.0,1.0,0.0,0.01025100000000001,0.19656799583333334
Campanella2024,subject_05,Campanella2024:subject_05,Baseline,45.0,True,0.0,0.0,1.0,1.0,0.0,0.016659000000000007,0.19804167083333332
Campanella2024,subject_05,Campanella2024:subject_05,Baseline,75.0,True,0.0,0.0,1.0,1.0,0.0,0.023065000000000002,0.20366388333333332
Campanella2024,subject_05,Campanella2024:subject_05,Baseline,105.0,True,0.0,0.0,1.0,1.0,0.0,0.026909000000000016,0.21081839583333334
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,240.0,True,0.0,0.0,1.0,1.0,0.0,0.09354300000000002,0.25860958333333334
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,270.0,True,0.0,0.0,1.0,1.0,0.0,0.04997500000000002,0.26357502499999996
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,300.0,True,0.0,0.0,1.0,1.0,0.0,0.07944700000000002,0.26944814166666664
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,330.0,True,0.0,0.0,1.0,1.0,0.0,0.12173399999999995,0.28260395000000005
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,360.0,True,0.0,0.0,1.0,1.0,0.0,0.13198499999999996,0.27642111666666663
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,390.0,True,0.0,0.0,1.0,1.0,0.0,0.060226,0.2687807375
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,420.0,True,0.0,0.0,1.0,1.0,0.0,0.06919600000000001,0.2656626583333333
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,450.0,True,0.0,0.0,1.0,1.0,0.0,0.046131000000000005,0.2556783125
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,480.0,True,0.0,0.0,1.0,1.0,0.0,0.05382000000000001,0.2565219166666667
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,510.0,True,0.0,0.0,1.0,1.0,0.0,0.05382000000000001,0.2563510666666667
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,540.0,True,0.0,0.0,1.0,1.0,0.0,0.052538,0.24717835833333338
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,570.0,True,0.0,0.0,1.0,1.0,0.0,0.026910000000000017,0.2407072875
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,600.0,True,0.0,0.0,1.0,1.0,0.0,0.03459799999999999,0.240840725
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,630.0,True,0.0,0.0,1.0,1.0,0.0,0.14992400000000003,0.261359225
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,660.0,True,0.0,0.0,1.0,1.0,0.0,0.13326600000000002,0.2811196375
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,960.0,True,0.0,0.0,1.0,1.0,0.0,0.06406999999999996,0.2947826625
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,990.0,True,0.0,0.0,1.0,1.0,0.0,0.080729,0.29296197916666666
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,1020.0,True,0.0,0.0,1.0,1.0,0.0,0.158895,0.31245005416666666
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,1050.0,True,0.0,0.0,1.0,1.0,0.0,0.133266,0.3480518458333333
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,1080.0,True,0.0,0.0,1.0,1.0,0.0,0.11148199999999997,0.3810534625
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,1110.0,True,0.0,0.0,1.0,1.0,0.0,0.07944699999999999,0.39454564583333335
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,1380.0,True,0.0,0.0,1.0,1.0,0.0,0.09610599999999997,0.3642029666666667
Campanella2024,subject_05,Campanella2024:subject_05,Manual task,1410.0,True,0.0,0.0,1.0,1.0,0.0,0.09354299999999999,0.384171525
Campanella2024,subject_05,Campanella2024:subject_05,Stress,1650.0,True,0.0,0.0,1.0,1.0,0.0,0.067915,0.4015186333333334
Campanella2024,subject_05,Campanella2024:subject_05,Stress,1680.0,True,0.0,0.0,1.0,1.0,0.0,0.03459800000000002,0.41280035
Campanella2024,subject_06,Campanella2024:subject_06,Baseline,15.0,True,0.0,0.0,1.0,1.0,0.0,0.10250599999999999,0.47390021666666665
Campanella2024,subject_06,Campanella2024:subject_06,Baseline,45.0,True,0.0,0.0,1.0,1.0,0.0,0.021782000000000024,0.4491812541666667
Campanella2024,subject_06,Campanella2024:subject_06,Baseline,75.0,True,0.0,0.0,1.0,1.0,0.0,0.123008,0.45498458750000004
Campanella2024,subject_06,Campanella2024:subject_06,Baseline,105.0,True,0.0,0.0,1.0,1.0,0.0,0.123008,0.464776
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,240.0,True,0.0,0.0,1.0,1.0,0.0,0.15376,0.4888330375
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,270.0,True,0.0,0.0,1.0,1.0,0.0,0.15376,0.4854855708333333
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,300.0,True,0.0,0.0,1.0,1.0,0.0,0.08584899999999995,0.47992778750000004
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,330.0,True,0.0,0.0,1.0,1.0,0.0,0.11275699999999994,0.49653703750000006
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,360.0,True,0.0,0.0,0.5333333333333333,0.6333333333333333,0.0,0.24831100000000006,0.5011869916666667
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,390.0,True,0.0,0.0,0.03333333333333333,0.13333333333333333,0.0,0.408745,0.5163333791666668
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,420.0,True,0.0,0.0,0.0,0.0,0.0,0.408745,0.6182955458333335
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,450.0,True,0.0,0.0,0.0,0.0,0.0,0.235765,0.6598907666666667
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,480.0,True,0.0,0.0,0.0,0.0,0.0,0.23960899999999996,0.6259675125000002
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,510.0,True,0.0,0.0,0.0,0.0,0.0,0.1870750000000001,0.6067902666666666
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,540.0,True,0.0,0.0,0.0,0.0,0.0,0.21142,0.5493973375000001
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,570.0,True,0.0,0.0,0.0,0.0,0.0,0.19348100000000001,0.5102846875
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,600.0,True,0.0,0.0,0.0,0.0,0.0,0.19348100000000001,0.5360234166666668
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,630.0,True,0.0,0.0,0.0,0.0,0.0,0.205013,0.5243526458333334
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,660.0,True,0.0,0.0,0.0,0.0,0.0,0.27932999999999997,0.47402298749999994
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,960.0,True,0.0,0.0,0.0,0.0,0.0,0.9968760000000001,2.076751625
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,990.0,True,0.0,0.0,0.0,0.0,0.0,0.9955329999999998,2.092987941666667
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,1020.0,True,0.0,0.0,0.0,0.0,0.0,0.9955329999999998,2.116923991666667
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,1050.0,True,0.0,0.0,0.0,0.0,0.0,0.7930819999999998,2.177786125
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,1080.0,True,0.0,0.0,0.0,0.0,0.0,1.1031639999999998,2.2357910750000003
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,1110.0,True,0.0,0.0,0.0,0.0,0.0,1.832898,2.641679583333334
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,1380.0,True,0.0,0.0,0.0,0.0,0.0,1.9839510000000002,2.222697629166667
Campanella2024,subject_06,Campanella2024:subject_06,Manual task,1410.0,True,0.0,0.0,0.0,0.0,0.0,2.2444290000000002,3.1286228166666663
Campanella2024,subject_06,Campanella2024:subject_06,Stress,1650.0,True,0.0,0.0,0.0,0.0,0.0,1.438873,2.159305066666667
Campanella2024,subject_06,Campanella2024:subject_06,Stress,1680.0,True,0.0,0.0,0.0,0.0,0.0,0.9173709999999997,2.1870367208333334
Campanella2024,subject_06,Campanella2024:subject_06,Stress,1710.0,True,0.0,0.0,0.0,0.0,0.0,1.2633309999999998,2.076060045833333
Campanella2024,subject_06,Campanella2024:subject_06,Stress,1740.0,True,0.0,0.0,0.0,0.0,0.0,0.9881059999999999,1.7949272208333333
Campanella2024,subject_07,Campanella2024:subject_07,Baseline,15.0,True,0.0,0.0,0.0,0.0625,0.0625,0.028189000000000006,0.07335094166666666
Campanella2024,subject_07,Campanella2024:subject_07,Baseline,45.0,True,0.0875,0.0,0.16666666666666666,0.45,0.25833333333333336,0.101225,0.07553978749999998
Campanella2024,subject_07,Campanella2024:subject_07,Baseline,75.0,True,0.1125,0.0,0.16666666666666666,0.6416666666666667,0.45,0.101225,0.07282231666666666
Campanella2024,subject_07,Campanella2024:subject_07,Baseline,105.0,True,0.025,0.0,0.0,0.19166666666666668,0.19166666666666668,0.079442,0.076447425
Campanella2024,subject_07,Campanella2024:subject_07,Manual task,240.0,True,0.0125,0.0,0.0,0.17916666666666667,0.17916666666666667,0.102506,0.088566525
Campanella2024,subject_07,Campanella2024:subject_07,Manual task,270.0,True,0.0125,0.0,0.0,0.17916666666666667,0.17916666666666667,0.057659,0.08412995833333332
Campanella2024,subject_07,Campanella2024:subject_07,Manual task,300.0,True,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.026907,0.08602524583333333
